KepID,DispositionScore,NotTransit-LikeFalsePositiveFlag,koi_fpflag_ss,CentroidOffsetFalsePositiveFlag,EphemerisMatchIndicatesContaminationFalsePositiveFlag,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,TCEDeliver,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
6543893,1.0,0,0,0,0,10.29674097,3.59e-05,-3.59e-05,132.19453,0.00319,-0.00319,0.298,0.146,-0.298,2.7292,0.0753,-0.0753,1010.0,35.2,-35.2,5.75,0.95,-1.3,1129.0,384.86,165.5,-166.47,31.3,1.0,1,6068.0,82.0,-82.0,4.04,0.182,-0.112,1.797,0.295,-0.406,297.58313,41.952431,15.767,1,2
10665749,0.965,0,0,0,0,4.237447181,9.04e-06,-9.04e-06,135.17679,0.00156,-0.00156,0.187,0.496,-0.187,0.3792,0.082,-0.082,350.0,34.4,-34.4,2.26,0.68,-0.29,1172.0,446.38,402.92,-150.26,11.1,1.0,1,5993.0,180.0,-198.0,4.425,0.101,-0.203,0.993,0.298,-0.128,291.90216,47.96207,15.504,1,1
2019076,0.0,0,1,0,0,3.564614021,4.51e-07,-4.51e-07,131.86235,0.000109,-0.000109,0.989,0.034,-0.005,3.44204,0.00504,-0.00504,94300.0,153.0,-153.0,46.0,11.9,-6.39,1187.0,470.37,368.88,-165.61,728.8,1.0,1,5891.0,177.0,-195.0,4.45,0.112,-0.168,0.892,0.231,-0.124,292.46249,37.442619,15.671,0,0
7024530,0.0,0,1,0,0,66.1539783,0.000448,-0.000448,156.97153,0.00717,-0.00717,0.873,0.013,-0.022,5.896,0.163,-0.163,6950.0,157.0,-157.0,9.69,3.24,-1.07,468.0,11.3,11.43,-3.66,57.7,1.0,1,6077.0,190.0,-232.0,4.471,0.054,-0.216,0.999,0.333,-0.111,288.92923,42.529202,15.52,0,0
6594945,0.0,0,0,0,0,188.954072,0.00804,-0.00804,160.7576,0.0274,-0.0274,0.014,0.45,-0.014,14.17,1.1,-1.1,167.0,16.6,-16.6,2.46,0.54,-0.73,468.0,11.36,7.12,-6.33,10.9,1.0,1,6392.0,155.0,-175.0,3.967,0.266,-0.114,1.899,0.41,-0.563,288.28122,42.072079,13.039,1,1
8029197,0.0,0,0,0,1,2.15292788,1.06e-05,-1.06e-05,132.36514,0.00431,-0.00431,0.45,0.021,-0.45,3.043,0.116,-0.116,41.4,2.3,-2.3,1.02,0.25,-0.37,1841.0,2708.61,1989.08,-1700.42,21.5,1.0,1,5851.0,176.0,-132.0,3.969,0.357,-0.153,1.555,0.375,-0.562,291.9632,43.88166,12.643,0,0
6114140,0.0,0,0,0,0,0.933745798,2.35e-06,-2.35e-06,131.52118,0.00205,-0.00205,0.961,0.002,-0.003,6.447,0.162,-0.162,614.0,11.9,-11.9,3.45,1.07,-0.42,2097.0,4570.22,4143.3,-1500.36,75.3,1.0,1,6367.0,172.0,-211.0,4.419,0.065,-0.195,1.087,0.336,-0.134,288.7709,41.412571,15.485,1,1
4548011,0.999,0,0,0,0,6.28384079,4.88e-05,-4.88e-05,133.20513,0.00704,-0.00704,0.101,0.362,-0.101,4.291,0.167,-0.167,35.7,2.6,-2.6,0.73,0.12,-0.11,1108.0,356.49,166.1,-121.65,14.9,1.0,1,5888.0,105.0,-129.0,4.275,0.144,-0.108,1.227,0.207,-0.186,287.37125,39.603569,12.4,1,2
3848972,0.0,0,1,0,0,0.741057213,1.16e-07,-1.16e-07,131.947273,0.000127,-0.000127,1.26,0.88,-0.152,1.05299,0.00904,-0.00904,2000.0,10.7,-10.7,26.67,5.23,-2.23,1730.0,2128.29,1300.15,-527.62,251.9,1.0,1,5496.0,166.0,-149.0,4.592,0.038,-0.12,0.776,0.152,-0.065,291.07126,38.999039,14.489,0,0
7906882,0.952,0,0,0,0,52.51354873,6.13e-06,-6.13e-06,171.6745959,9.47e-05,-9.47e-05,0.679,0.008,-0.01,3.2743,0.0118,-0.0118,14300.0,21.1,-21.1,12.43,1.67,-1.22,472.0,11.73,4.61,-2.92,825.0,1.0,1,5589.0,111.0,-111.0,4.421,0.086,-0.105,0.98,0.132,-0.096,296.84076,43.647121,13.579,1,1
8590780,0.0,0,1,0,0,4.326946311,1.49e-07,-1.49e-07,132.1921929,2.82e-05,-2.82e-05,0.482,0.003,-0.003,5.55905,0.00063,-0.00063,409000.0,33.7,-33.7,106.99,29.2,-35.7,1481.0,1137.15,938.8,-696.22,4247.8,1.0,1,6231.0,188.0,-207.0,4.078,0.35,-0.15,1.501,0.41,-0.501,301.16916,44.645962,13.253,0,0
5103998,0.0,0,1,0,0,174.7697122,0.000115,-0.000115,172.472322,0.000543,-0.000543,1.036,4.346,-0.339,2.3569,0.0317,-0.0317,68100.0,832.0,-832.0,38.79,9.36,-3.13,294.0,1.77,1.26,-0.44,100.4,1.0,1,5704.0,152.0,-169.0,4.575,0.04,-0.16,0.804,0.194,-0.065,293.15765,40.262711,15.549,0,0
10749059,0.994,0,0,0,0,174.731515,0.00313,-0.00313,252.5348,0.0146,-0.0146,0.021,0.428,-0.021,8.257,0.343,-0.343,1180.0,82.8,-82.8,3.0,0.17,-0.3,287.0,1.6,0.31,-0.38,16.5,1.0,1,5201.0,83.0,-83.0,4.447,0.098,-0.035,0.897,0.051,-0.089,297.88464,48.00145,15.707,1,1
8686373,0.988,0,0,0,0,126.55719,0.00122,-0.00122,145.69736,0.00872,-0.00872,0.965,0.006,-0.675,8.079,0.548,-0.548,366.0,16.4,-16.4,4.59,1.44,-1.43,524.0,17.85,16.39,-10.61,24.8,1.0,1,6501.0,179.0,-247.0,4.054,0.231,-0.189,1.854,0.578,-0.578,290.73001,44.836121,13.666,1,1
7661893,0.992,0,0,0,0,2.49385348,1.18e-05,-1.18e-05,133.15177,0.00372,-0.00372,0.331,0.12,-0.331,1.414,0.116,-0.116,46.9,4.7,-4.7,0.59,0.06,-0.05,1251.0,579.64,184.26,-131.64,12.3,1.0,1,5615.0,112.0,-112.0,4.477,0.088,-0.072,0.85,0.088,-0.072,282.63617,43.3661,13.03,1,1
4371172,0.0,0,1,1,0,73.992267,0.00194,-0.00194,143.4283,0.0202,-0.0202,0.446,0.539,-0.247,5.692,0.795,-0.795,226.0,44.5,-44.5,2.86,1.38,-1.68,546.0,20.98,33.3,-17.85,7.9,1.0,1,5271.0,222.0,-167.0,3.878,0.665,-0.285,1.895,0.912,-1.114,293.22186,39.430443,13.791,0,0
10342065,0.0,0,0,1,1,0.93374614,4.81e-07,-4.81e-07,133.388153,0.000466,-0.000466,1.27,0.109,-0.1,6.551,0.0321,-0.0321,1720.0,6.3,-6.3,149.71,35.4,-113.0,3303.0,28084.15,21255.96,-26636.71,365.7,1.0,1,5438.0,193.0,-193.0,3.424,0.832,-0.156,4.319,1.02,-3.265,292.84213,47.483829,13.964,0,0
6697605,0.709,0,0,0,0,3.42064689,1.93e-05,-1.93e-05,132.30629,0.00487,-0.00487,0.92,0.021,-0.63,1.767,0.118,-0.118,357.0,30.4,-30.4,2.27,0.25,-0.22,1129.0,382.68,118.21,-88.58,13.9,1.0,1,5370.0,85.0,-75.0,4.411,0.104,-0.076,0.966,0.105,-0.095,293.56635,42.13258,15.472,1,1
